Customer_ID,Online_Security,Online_Backup,Customer_Status
7379-FNIUJ,Yes,Yes,Joined
2585-KTFRE,Yes,Yes,Joined
4854-SSLTN,Yes,Yes,Joined
2792-LSHWX,Yes,Yes,Joined
3090-LETTY,Yes,Yes,Joined
1928-BXYIV,Yes,Yes,Joined
3071-VBYPO,Yes,Yes,Joined
2710-WYVXG,Yes,Yes,Joined
5091-HFAZW,Yes,Yes,Joined
9108-EJFJP,Yes,Yes,Joined
0139-IVFJG,Yes,Yes,Joined
6917-YACBP,Yes,Yes,Stayed
7629-WFGLW,Yes,Yes,Stayed
8760-ZRHKE,Yes,Yes,Stayed
0442-ZXKVS,Yes,Yes,Stayed
2451-YMUXS,Yes,Yes,Stayed
3179-GBRWV,Yes,Yes,Stayed
3740-RLMVT,Yes,Yes,Stayed
3908-MKIMJ,Yes,Yes,Stayed
7130-CTCUS,Yes,Yes,Stayed
7852-LECYP,Yes,Yes,Stayed
8169-SAEJD,Yes,Yes,Stayed
8250-ZNGGW,Yes,Yes,Stayed
8628-MFKAX,Yes,Yes,Stayed
9919-FZDED,Yes,Yes,Stayed
2274-XUATA,Yes,Yes,Stayed
3537-RYBHH,Yes,Yes,Stayed
3982-DQLUS,Yes,Yes,Stayed
5248-RPYWW,Yes,Yes,Stayed
6904-JLBGY,Yes,Yes,Stayed
7005-CYUIL,Yes,Yes,Stayed
7426-GSWPO,Yes,Yes,Stayed
8204-YJCLA,Yes,Yes,Stayed
3244-CQPHU,Yes,Yes,Stayed
3865-ZYKAD,Yes,Yes,Stayed
4806-DXQCE,Yes,Yes,Stayed
4824-GUCBY,Yes,Yes,Stayed
4868-AADLV,Yes,Yes,Stayed
6383-ZTSIW,Yes,Yes,Stayed
7789-CRUVC,Yes,Yes,Stayed
8133-ANHHJ,Yes,Yes,Stayed
8565-WUXZU,Yes,Yes,Stayed
8606-CIQUL,Yes,Yes,Stayed
9058-HRZSV,Yes,Yes,Stayed
9591-YVTEB,Yes,Yes,Stayed
3657-COGMW,Yes,Yes,Stayed
5456-ITGIC,Yes,Yes,Stayed
6646-JPPHA,Yes,Yes,Stayed
7472-EQOAV,Yes,Yes,Stayed
7576-JMYWV,Yes,Yes,Stayed
9699-UBQFS,Yes,Yes,Stayed
1421-HCERK,Yes,Yes,Stayed
1480-BKXGA,Yes,Yes,Stayed
2878-RMWXY,Yes,Yes,Stayed
3108-PCCGG,Yes,Yes,Stayed
3258-SYSWS,Yes,Yes,Stayed
5135-GRQJV,Yes,Yes,Stayed
5451-YHYPW,Yes,Yes,Stayed
5820-PTRYM,Yes,Yes,Stayed
6919-ELBGL,Yes,Yes,Stayed
7446-YPODE,Yes,Yes,Stayed
8406-LNMHF,Yes,Yes,Stayed
9681-KYGYB,Yes,Yes,Stayed
0907-HQNTS,Yes,Yes,Stayed
2388-LAESQ,Yes,Yes,Stayed
3398-GCPMU,Yes,Yes,Stayed
4083-BFNYK,Yes,Yes,Stayed
4118-CEVPF,Yes,Yes,Stayed
4304-XUMGI,Yes,Yes,Stayed
5227-JSCFE,Yes,Yes,Stayed
5897-ZYEKH,Yes,Yes,Stayed
1779-PWPMG,Yes,Yes,Stayed
1986-PHGZF,Yes,Yes,Stayed
2639-UGMAZ,Yes,Yes,Stayed
2673-CXQEU,Yes,Yes,Stayed
3402-XRIUO,Yes,Yes,Stayed
5730-RIITO,Yes,Yes,Stayed
7322-OCWHC,Yes,Yes,Stayed
8041-TMEID,Yes,Yes,Stayed
8166-ORCHU,Yes,Yes,Stayed
3915-ODIYG,Yes,Yes,Stayed
4023-RTIQM,Yes,Yes,Stayed
4667-QONEA,Yes,Yes,Stayed
